id,operation,ticks,cycles,std,ticks_list,end_to_end_cycles,end_to_end_ms
0,CONV_2D,13131,13446451,7.43,"[13132, 13122, 13136, 13123, 13144, 13120, 13132, 13140, 13130, 13134]",,
1,CONV_2D,19659,20130509,5.92,"[19659, 19654, 19666, 19655, 19665, 19647, 19663, 19653, 19661, 19664]",,
2,CONV_2D,18267,18705510,3.62,"[18266, 18267, 18266, 18263, 18264, 18268, 18269, 18262, 18272, 18274]",,
3,ADD,3875,3968205,7.26,"[3875, 3872, 3875, 3869, 3875, 3868, 3878, 3865, 3885, 3890]",,
4,CONV_2D,10142,10385101,2.72,"[10143, 10142, 10139, 10141, 10140, 10140, 10142, 10138, 10144, 10148]",,
5,CONV_2D,13485,13808538,3.67,"[13488, 13482, 13482, 13486, 13484, 13484, 13488, 13477, 13489, 13489]",,
6,CONV_2D,2400,2457600,1.26,"[2400, 2400, 2398, 2399, 2400, 2401, 2401, 2398, 2401, 2402]",,
7,ADD,1989,2036941,4.42,"[1991, 1986, 1984, 1992, 1990, 1990, 1993, 1980, 1996, 1990]",,
8,CONV_2D,7988,8179610,1.3,"[7988, 7988, 7988, 7986, 7990, 7988, 7986, 7987, 7988, 7990]",,
9,CONV_2D,11113,11380019,3.32,"[11112, 11110, 11116, 11115, 11121, 11111, 11110, 11110, 11114, 11114]",,
10,CONV_2D,1896,1940992,1.8,"[1896, 1895, 1894, 1897, 1894, 1900, 1894, 1896, 1894, 1895]",,
11,ADD,478,489574,3.42,"[477, 475, 482, 483, 483, 480, 474, 476, 477, 474]",,
12,AVERAGE_POOL_2D,42,43520,0.5,"[42, 42, 43, 43, 42, 42, 43, 43, 42, 43]",,
13,RESHAPE,3,3174,0.3,"[3, 3, 3, 3, 3, 3, 4, 3, 3, 3]",,
14,FULLY_CONNECTED,13,13312,0.0,"[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",,
15,SOFTMAX,25,26010,4.2,"[30, 18, 28, 28, 28, 28, 22, 28, 18, 26]",,
,TOTAL_LAYERS,,107015066,,,,
,END_TO_END,,,,,107044584,2140.89168
