id,operation,ticks,cycles,ms,std,end_to_end_cycles,end_to_end_ms
0,CONV_2D,13131,13446451,268.929,7.43,,
1,CONV_2D,19659,20130714,402.614,5.82,,
2,CONV_2D,18267,18705715,374.114,3.66,,
3,ADD,3875,3968102,79.362,7.49,,
4,CONV_2D,10142,10384896,207.698,2.69,,
5,CONV_2D,13485,13808538,276.171,3.48,,
6,CONV_2D,2400,2457498,49.15,1.22,,
7,ADD,1989,2036941,40.739,4.42,,
8,CONV_2D,7988,8179814,163.596,1.22,,
9,CONV_2D,11114,11380224,227.604,3.64,,
10,CONV_2D,1896,1940992,38.82,1.8,,
11,ADD,478,489574,9.791,3.42,,
12,AVERAGE_POOL_2D,42,43418,0.868,0.49,,
13,RESHAPE,3,3072,0.061,0.0,,
14,FULLY_CONNECTED,13,13517,0.27,0.4,,
15,SOFTMAX,25,25907,0.518,4.15,,
